target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,Corporate,25338,0,1,0,0.8603046595,25.810958904,2.5589041096,1,1,5.7232876712,1046
0,2NDFL,high,,37333,0,0,,,55.02739726,1.9917808219,,,9.5397260274,1058
0,2NDFL,advanced,,52076,0,0,0,7.5730062724,38.679017891,6.8297028221,0,0,8.6571000823,1061
0,2NDFL,elementary,Corporate,69439,0,0,0,28.702889785,27.62795868,0.5136612022,1,1,7.5320682686,1066
0,2NDFL,elementary,,39101,0,0,0,1.2157930108,31.075364923,7.7431693989,4,4,3.1465977992,1075
0,OTHER,elementary,,60000,0,0,1,0.217562724,31.298630137,4.9949696834,0,0,9.3150684932,1086
0,OTHER,elementary,Corporate,128306,0,1,0,15.058758961,52.341687252,4.8935998203,0,0,7.1753424658,1087
0,OTHER,elementary,,150000,0,0,1,0.9859767025,44.409836066,11.81147541,0,0,8.2732240437,1095
0,2NDFL,elementary,,11670,1,0,,,32.172131148,1.0375477206,,,10.506040871,1098
0,OTHER,elementary,,80000,0,0,0,37.154323477,29.588038027,0.6702298076,0,0,7.7568306011,1107
0,OTHER,elementary,VIP,439312,0,1,0,0.508266129,35.4008833,0.4754098361,0,0,10.562527135,1116
0,OTHER,elementary,Corporate,75869,0,0,,,49.707710158,14.594520548,,,4.6054794521,1121
0,OTHER,elementary,Corporate,85575,0,1,1,0.3084677419,33.531881129,2.5346208549,0,0,10.035990718,1123
0,2NDFL,elementary,,36063,0,0,0,1.3705645161,26.22860244,1.7272325773,0,0,6.1464106595,1132
0,OTHER,advanced,Corporate,42984,0,0,,,41.412628191,4.2739726027,,,1.7186391197,1140
