Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
19;1099059;Форма банка (без печати работодателя);Ремонт;0;0.46;женский;0;0;среднее-специальное;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099079;Форма банка (без печати работодателя);Покупка автомобиля;1;0.4;мужской;2;0;высшее;менеджер среднего звена;>250;0;31;40;Торговля;ЗАО;женат / замужем;1;0;0;0;0;0.1284916201;1;0;0;0;0.3333333333;4;2;156;6;2;1;6;94;1;0;0;0;0;0;0
19;1099099;Форма банка (без печати работодателя);Ремонт;1;0.34;мужской;0;0;незаконченное высшее;менеджер по продажам;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099119;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.15;мужской;0;0;высшее;менеджер среднего звена;>250;0;203;48;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099139;Форма банка (без печати работодателя);Обучение;1;0.46;женский;0;0;высшее;специалист;>250;0;73;36;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099159;Форма банка (без печати работодателя);Покупка автомобиля;0;0.38;мужской;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;94;55;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099179;2НДФЛ;Покупка недвижимости/ строительство;1;0.41;мужской;0;0;высшее;вспомогательный персонал;>250;0;76;36;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099199;Форма банка (без печати работодателя);Ремонт;0;0.47;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;11;45;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099219;2НДФЛ;Ремонт;1;0.58;женский;0;0;высшее;специалист;>250;0;65;29;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099239;Форма банка (без печати работодателя);Ремонт;0;0.44;мужской;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099259;2НДФЛ;Ремонт;1;0.48;мужской;1;0;высшее;специалист;< 50;3;19;28;Торговля;ООО;гражданский брак;1;0;0;0;0;0.5375;0;0;0;0;0.25;1;3;37;4;1;0;51;87;1;1;1;1;0;0;0
19;1099279;2НДФЛ;Ремонт;0;0.11;мужской;1;0;высшее;рабочий;>250;3;172;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099299;Поступление зарплаты на счет;Покупка автомобиля;0;0.2;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;165;34;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;2;22;2;0;1;64;87;0;0;0;0;0;0;0
19;1099319;Форма банка (без печати работодателя);Покупка мебели;1;0.41;женский;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099339;Поступление зарплаты на счет;Покупка автомобиля;0;0.48;женский;0;0;высшее;торговый представитель;< 50;3;27;25;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099359;2НДФЛ;Покупка автомобиля;0;0.41;женский;1;0;среднее;специалист;>250;1;246;41;Другое;ООО;холост / не замужем;2;1;1;1;0;0.0117647059;1;0;0;0;0.1363636364;3;19;252;22;2;3;10;102;1;0;0;0;0;0;0
19;1099379;Поступление зарплаты на счет;Ремонт;1;0.49;мужской;1;0;высшее;менеджер по продажам;>250;0;79;32;Сельское и лесное хозяйство;ЗАО;повторный брак;4;2;2;2;2;0.0987654321;0;0;0;0;1;5;0;73;5;1;0;10;33;1;0;0;0;0;0;0
19;1099399;Поступление зарплаты на счет;Ремонт;1;0.4;мужской;0;0;незаконченное высшее;специалист;>250;0;13;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099419;Свободная форма с печатью работодателя;Ремонт;1;0.43;мужской;1;0;среднее-специальное;вспомогательный персонал;>250;1;135;41;Торговля;ЗАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.3333333333;1;2;38;3;0;0;28;49;0;0;0;0;0;0;0
19;1099439;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.43;мужской;2;0;высшее;специалист;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1099459;2НДФЛ;Покупка недвижимости/ строительство;1;0.37;женский;2;0;среднее-специальное;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
